Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status,Life_expectancy
China,Asia,2007.5,16.96875,21.1,97.5115625,4.209375,87.75,93.875,23.0,93.6875,93.3125,0.1,4707.5,1321.239375,4.6375,4.025,7.0625,1.0,73.6875
Colombia,South America,2007.5,17.08125,19.99375,153.46740625,4.3025,88.5625,79.25,25.48125,89.3125,88.75,0.211875,4911.0625,43.804375,2.3,2.075,7.14375,1.0,74.8125
Comoros,Africa,2007.5,65.1375,89.26875,251.57609374999998,0.16375,78.125,64.0,23.55,80.1875,79.3125,0.0175,1204.25,0.65375,7.275,7.1625,3.7375,1.0,61.14375
"Congo, Dem. Rep.",Africa,2007.5,89.48125,125.81875000000001,298.787625,3.20625,70.875,64.0,21.34375,62.9375,61.0,0.673125,393.75,60.26875,8.14375,7.95625,4.85625,1.0,55.06875
"Congo, Rep.",Africa,2007.5,51.81875,77.61875,342.83490625,1.375625,73.125,64.0,22.6125,64.8125,67.625,2.156875,2264.625,3.9612499999999997,8.4875,8.125,5.95625,1.0,57.73125
Costa Rica,Central America and Caribbean,2007.5,9.39375,10.93125,93.4931875,3.825625,88.875,86.5,26.55,89.0625,89.875,0.1625,9571.0625,4.424375,1.9625,1.90625,8.225,1.0,78.46875
Cote d'Ivoire,Africa,2007.5,80.23125,116.46875,432.7494375,1.9675,71.75,64.0,23.25,73.8125,73.4375,1.96375,1679.0,19.57,6.7375,6.69375,3.9875,1.0,51.95
Croatia,European Union,2007.5,5.38125,6.2625,107.001625,11.47375,96.125,97.6875,26.4,95.5,95.375,0.01875,11269.375,4.298125,1.74375,1.71875,10.325,0.0,75.8125
Cuba,Central America and Caribbean,2007.5,5.56875,6.9875,98.99396875,4.268125,96.25,88.0625,25.0625,98.6875,93.9375,0.144375,5952.5,11.240625,3.44375,3.26875,10.43125,1.0,77.89375
Cyprus,European Union,2007.5,3.525,4.15,60.44828125,10.829375,92.625,89.625,26.625,98.0,98.0,0.046875,24677.8125,1.06375,0.90625,1.0,11.08125,0.0,79.08125
Czechia,European Union,2007.5,3.25,4.0,104.33340625,13.304375,96.625,98.0625,26.7375,98.0,98.125,0.08,15476.8125,10.356875,1.99375,2.0625,11.98125,0.0,76.78125
Denmark,European Union,2007.5,3.9375,4.68125,86.8725625,10.60875,88.0,87.125,25.18125,93.0625,93.0625,0.039375,51486.4375,5.49,1.1625,0.9375,12.5125,0.0,78.54375
Djibouti,Africa,2007.5,66.9875,82.86874999999999,288.2796875,0.665625,86.3125,82.0,23.775,74.875,75.125,0.85625,1333.6875,0.813125,5.84375,5.7,3.775,1.0,59.4875
Dominican Republic,Central America and Caribbean,2007.5,29.71875,36.275,174.18625,5.821875,78.625,83.0,25.65,80.6875,83.1875,0.65,5277.4375,9.390625,3.46875,3.375,7.15,1.0,71.38125
Ecuador,South America,2007.5,18.3125,21.54375,140.41896875,3.9725,83.125,88.9375,26.19375,88.875,89.1875,0.179375,5176.9375,14.424375,1.38125,1.26875,7.64375,1.0,74.55625
"Egypt, Arab Rep.",Africa,2007.5,27.181250000000002,33.00625,164.43240625,0.171875,96.6875,64.0,28.525,96.6875,96.6875,0.13,3120.9375,79.614375,3.125,3.075,6.03125,1.0,69.9125
El Salvador,Central America and Caribbean,2007.5,19.33125,22.875,201.7910625,2.59125,91.125,83.0625,26.83125,92.375,92.25,0.273125,3296.9375,6.115625,1.80625,1.725,6.1625,1.0,70.66250000000001
Equatorial Guinea,Africa,2007.5,86.56875,123.09375,331.3333125,8.135,46.0625,64.0,23.3,51.75,35.0,4.064375,12067.9375,0.859375,6.65625,6.6,5.4437500000000005,1.0,55.13125
Eritrea,Africa,2007.5,43.2875,62.59375,314.237875,0.996875,91.875,88.0,20.43125,93.5625,92.375,0.33375,1267.5,2.759375,8.08125,8.01875,3.79375,1.0,60.28125
Estonia,European Union,2007.5,4.90625,6.225,167.416875,15.1,93.4375,94.125,25.95625,94.25,94.125,0.08,14643.375,1.34625,2.075,2.1375,12.24375,0.0,73.81875
Eswatini,Africa,2007.5,59.51875,95.10625,539.5658125,6.333125,91.1875,93.375,26.13125,89.0,88.8125,18.164375,3097.5625,1.0506250000000001,6.475,6.63125,5.09375,1.0,46.69375
Ethiopia,Africa,2007.5,62.98125,97.425,304.33171875,0.3575,58.8125,64.0,20.2125,62.375,52.9375,0.56125,401.375,82.46375,8.38125,6.475,2.09375,1.0,58.76875
Fiji,Oceania,2007.5,19.79375,23.3,203.28853125,2.291875,98.875,89.8125,26.9375,97.125,96.75,0.0675,4591.375,0.8418749999999999,4.09375,3.79375,9.68125,1.0,66.48125
Finland,European Union,2007.5,2.775,3.39375,89.67778125,9.5125,88.0,92.0,25.9,97.1875,98.25,0.08,42462.5625,5.313125,0.9,0.80625,11.5125,0.0,79.5
France,European Union,2007.5,3.34375,4.5375,87.90378125,12.824375,51.25,67.625,24.98125,98.25,98.0625,0.105,35447.25,63.988125,0.625,0.6,10.65625,0.0,80.9125
Gabon,Africa,2007.5,44.6625,67.43125,290.9998125,8.060625,72.5625,64.0,24.48125,61.75,62.9375,2.321875,7320.0,1.533125,6.91875,6.775,7.225,1.0,60.35
"Gambia, The",Africa,2007.5,49.8125,83.8,281.35596875,3.06625,95.375,64.0,23.0125,92.75,93.0,1.330625,705.1875,1.678125,7.5875,7.50625,2.63125,1.0,58.68125
Georgia,Rest of Europe,2007.5,18.0625,20.38125,170.07196875,5.524375,77.25,75.75,26.5875,86.25,88.0,0.09125,2780.5625,3.85625,2.75,2.89375,12.18125,1.0,71.15625
Germany,European Union,2007.5,3.73125,4.51875,81.36034375,11.6475,87.5625,89.3125,26.1875,94.5625,94.9375,0.06125,37390.8125,81.814375,1.1187500000000001,1.1062500000000002,13.26875,0.0,79.475
Ghana,Africa,2007.5,51.05625,76.2375,271.1335,1.435,87.625,56.25,23.3375,88.0,87.9375,1.19,1357.8125,23.3775,7.65,7.575,6.55625,1.0,59.8375
Greece,European Union,2007.5,4.025,4.60625,76.727,8.254375,94.0,78.5,26.9625,96.5,96.625,0.064375,20658.5,10.97875,0.8125,0.73125,9.85625,0.0,79.7625
Grenada,Central America and Caribbean,2007.5,13.00625,15.15625,159.1449375,8.776875,95.5625,79.4375,26.13125,95.125,95.625,0.4,8010.4375,0.105625,3.9187499999999997,3.93125,8.025,1.0,72.85
Guatemala,Central America and Caribbean,2007.5,31.71875,39.175,185.32375000000002,2.14375,87.0625,83.0,25.75,84.0625,85.5625,0.18,3525.0,13.598125,1.3375,1.3375,4.425,1.0,70.61875
Guinea,Africa,2007.5,80.675,129.0875,303.28071875,0.228125,57.9375,64.0,22.375,54.8125,57.4375,1.020625,688.5625,9.70625,7.64375,7.625,1.8375000000000001,1.0,55.10625
Guinea-Bissau,Africa,2007.5,81.41875,130.56875,291.87390625,3.105625,84.0,64.0,22.79375,74.1875,73.125,2.608125,576.5,1.443125,7.5,7.38125,2.5,1.0,53.525
Guyana,South America,2007.5,32.05,39.5125,220.07425,6.4350000000000005,93.3125,82.6875,25.49375,92.8125,93.25,0.76,4589.6875,0.7525,5.68125,5.46875,8.03125,1.0,67.33125
Haiti,Central America and Caribbean,2007.5,65.24375,92.8875,275.16796875,3.180625,60.0,83.0,24.25625,60.75,58.125,1.03125,1323.75,9.575625,4.24375,4.25625,4.5125,1.0,59.65625
Honduras,Central America and Caribbean,2007.5,22.50625,26.84375,158.3591875,2.75125,95.0625,83.0,25.7375,95.75,95.625,0.18,2054.9375,7.87375,2.4,2.3375,5.125,1.0,72.65625
Hungary,European Union,2007.5,5.96875,7.05625,164.950375,12.063749999999999,88.0,99.0,26.55625,98.9375,99.0,0.08,11134.625,10.035625,1.91875,1.9125,11.25625,0.0,73.64375
Iceland,Rest of Europe,2007.5,2.4125,3.03125,59.14578125,6.896875,88.0,92.3125,25.9,94.8125,94.8125,0.03875,48572.8125,0.3075,0.95625,0.9,10.575,0.0,81.575
India,Asia,2007.5,50.5,66.65625,199.50303125,1.9775,61.5625,38.8125,21.2,69.625,71.0,0.145625,1111.75,1188.605625,27.1,27.94375,5.16875,1.0,65.5875
Indonesia,Asia,2007.5,31.30625,38.78125,186.008,0.06925,73.5625,47.75,22.29375,81.6875,76.3125,0.181875,2505.75,234.355625,3.41875,3.94375,7.38125,1.0,68.26875
"Iran, Islamic Rep.",Middle East,2007.5,20.04375,23.8,118.19478125,0.0171875,97.75,65.0,25.5875,98.25,98.375,0.101875,4936.5,71.8425,7.76875,7.95625,8.2625,1.0,72.96875
Iraq,Middle East,2007.5,30.4375,37.325,173.14928125,0.16925,64.875,62.0625,27.775,74.25,70.25,0.13,3989.1875,28.733125,5.4,5.1625,6.03125,1.0,68.78125
Ireland,European Union,2007.5,4.19375,4.95,75.15728125,12.317499999999999,95.0,86.0,26.9125,91.1875,91.1875,0.061875000000000006,47788.6875,4.32875,0.3,0.21875,11.64375,0.0,79.48125
Israel,Middle East,2007.5,4.16875,5.16875,65.6618125,2.658125,97.4375,94.1875,26.71875,94.25,94.0625,0.08,31216.6875,7.295,1.14375,1.1,12.46875,0.0,80.79375
Italy,European Union,2007.5,3.65625,4.3125,62.06396875,8.195,95.5,83.4375,25.6,96.125,94.75,0.0825,32284.25,58.65,0.5125,0.525,9.44375,0.0,81.3875
Jamaica,Central America and Caribbean,2007.5,16.18125,18.90625,148.417375,3.315,94.875,82.3125,26.56875,94.6875,94.375,0.6775,5011.6875,2.775,1.88125,1.7375,8.5125,1.0,74.06875
Japan,Asia,2007.5,2.575,3.50625,64.51909375,7.931875000000001,83.0,88.8125,22.61875,96.0,96.25,0.17,32972.3125,127.628125,1.8125,1.54375,11.46875,0.0,82.45625
Jordan,Middle East,2007.5,18.53125,21.79375,119.65712500000001,0.46625,97.0,92.75,28.3625,97.125,97.0,0.13,4283.3125,6.74125,3.8874999999999997,3.86875,9.8125,1.0,72.9875
Kazakhstan,Asia,2007.5,22.91875,26.04375,250.07,4.70875,97.3125,98.25,25.91875,97.5,96.4375,0.08875,7986.0625,15.866875,2.4375,2.54375,11.393749999999999,1.0,67.73125
Kenya,Africa,2007.5,45.0875,69.2125,347.53603125,1.346875,84.4375,28.0,22.63125,83.6875,84.5625,2.7075,1270.3125,39.5125,8.4,8.2875,5.91875,1.0,57.775
Kiribati,Oceania,2007.5,48.95,63.94375,210.32921875,0.52375,83.0625,47.0,29.36875,84.8125,83.9375,0.17,1471.0625,0.0975,0.15625,0.1375,7.5,1.0,65.1625
Kuwait,Middle East,2007.5,9.24375,10.7625,74.59659375,0.016,98.1875,90.75,28.8625,98.1875,98.5,0.13,34269.6875,2.74,3.28125,3.15625,6.4875,1.0,74.01875
Kyrgyz Republic,Asia,2007.5,30.4125,34.88125,205.739375,6.184375,90.625,65.0,25.55625,95.875,96.5625,0.116875,912.9375,5.33875,3.35625,3.4125,10.3375,1.0,68.9625
Lao PDR,Asia,2007.5,58.18125,78.44375,231.730625,5.018125,63.625,65.0,21.91875,65.0,64.3125,0.155625,1430.1875,6.01,6.275,6.38125,4.475,1.0,62.875
Latvia,European Union,2007.5,7.637499999999999,9.25,198.878625,9.65,94.0,94.25,26.1,95.0,95.0,0.211875,10883.375,2.17,2.40625,2.43125,11.8875,0.0,72.35625
Lebanon,Middle East,2007.5,10.95,12.75625,76.30496875,1.629375,79.5,52.5,26.9375,77.625,79.5,0.03,7539.0,4.9475,4.76875,4.71875,7.83125,1.0,77.3125
Lesotho,Africa,2007.5,72.21875,105.13125,571.07271875,2.62375,86.625,70.4375,24.4875,87.75,89.5625,14.345625,926.6875,2.014375,7.1875,7.06875,5.51875,1.0,45.60625
Liberia,Africa,2007.5,86.03125,122.5375,287.7459375,3.91875,61.6875,64.0,23.58125,65.875,58.6875,3.5,666.3125,3.59625,7.8375,7.7625,3.95625,1.0,57.29375
Libya,Africa,2007.5,17.34375,20.35625,136.8853125,0.008625,96.3125,93.4375,27.40625,96.5,96.5,0.076875,11193.75,5.959375,5.6,5.43125,6.7124999999999995,1.0,71.79375
Lithuania,European Union,2007.5,6.0875,7.55,199.74675,12.98375,94.75,94.1875,26.23125,93.875,94.25,0.075625,10667.8125,3.20625,2.9375,2.96875,11.75625,0.0,72.56875
Luxembourg,European Union,2007.5,2.6875,3.275,77.85453125000001,12.149375,92.375,86.0,25.9625,98.0625,98.9375,0.085,102972.6875,0.4925,0.9500000000000001,0.9125,11.41875,0.0,79.9375
Madagascar,Africa,2007.5,52.39375,78.625,251.9008125,0.83375,70.8125,64.0,20.95625,71.375,72.5,0.11,472.875,19.82,7.86875,7.78125,5.75,1.0,62.225
Malawi,Africa,2007.5,61.6875,102.325,453.39359375000004,1.6775,88.25,64.0,22.30625,89.0625,88.6875,5.590625,324.6875,13.698125000000001,7.11875,6.9875,3.8,1.0,52.2875
Malaysia,Asia,2007.5,7.15625,8.38125,128.30821875,0.516875,96.0,93.875,24.7375,96.375,96.4375,0.195625,7868.75,26.883125,8.6125,8.40625,9.0625,1.0,74.0375
Maldives,Asia,2007.5,16.6875,19.8875,89.86378125,1.529375,97.875,81.5625,24.2,97.875,97.875,0.17,8099.5,0.350625,14.19375,14.2875,4.3625,1.0,74.5125
Mali,Africa,2007.5,82.96249999999999,144.7375,295.56159375,0.584375,74.25,64.0,22.3,68.4375,67.0,0.663125,690.9375,13.991875,7.075,6.35,1.80625,1.0,53.35625
Malta,European Union,2007.5,6.06875,6.925,57.7103125,6.87,86.625,72.75,27.056250000000002,89.4375,89.3125,0.08,19672.1875,0.41125,0.75,0.7124999999999999,9.76875,0.0,80.01875
Mauritania,Africa,2007.5,63.4875,100.5375,216.8916875,0.0088125,67.6875,64.0,24.35625,71.875,73.0625,0.289375,1407.3125,3.283125,6.48125,6.81875,3.6,1.0,62.0625
Mauritius,Africa,2007.5,13.45625,15.55,156.80553125,3.481875,96.1875,84.1875,24.86875,96.5,96.3125,1.01875,7189.3125,1.234375,7.46875,7.4125,7.7124999999999995,1.0,72.85
Mexico,North America,2007.5,18.23125,21.4375,120.38296875,4.5075,94.4375,92.8125,27.33125,95.0625,95.0,0.155625,9005.0,110.1625,1.73125,1.66875,7.825,1.0,75.0125
"Micronesia, Fed. Sts.",Oceania,2007.5,27.78125,33.6625,174.53996874999999,2.095625,85.0,65.0,29.18125,82.375,81.875,0.17,2991.1875,0.10625,0.21250000000000002,0.20625000000000002,6.58125,1.0,65.96875
Moldova,Rest of Europe,2007.5,17.125,20.1125,211.086,7.525625,95.0,92.0,26.45,94.9375,93.0625,0.365625,2068.0625,2.878125,3.025,3.2,10.625,1.0,68.925
Mongolia,Asia,2007.5,29.1625,36.04375,241.1844375,6.074375,97.4375,95.625,25.14375,97.5625,97.375,0.0175,2551.0,2.6462499999999998,2.28125,2.3874999999999997,9.1,1.0,66.175
Montenegro,Rest of Europe,2007.5,7.59375,8.78125,121.90746875,9.84625,89.75,95.6875,25.8625,92.25,92.0625,0.02625,5520.375,0.615625,2.1375,2.1875,10.79375,1.0,74.75625
Morocco,Africa,2007.5,31.40625,36.81875,102.42875,0.463125,92.3125,82.3125,25.23125,96.9375,97.1875,0.05,2336.0625,31.505625000000002,6.45625,6.3125,4.1375,1.0,72.76875
Mozambique,Africa,2007.5,81.125,120.675,397.74759375,0.775625,76.5625,64.0,22.14375,75.6875,77.0,3.5,438.8125,22.113125,3.80625,3.71875,2.96875,1.0,51.88125
Myanmar,Asia,2007.5,53.8,72.3375,217.36915625,0.7993750000000001,75.625,68.9375,21.9125,85.875,82.5,0.40875,730.8125,49.76375,13.13125,13.425,3.91875,1.0,62.7
Namibia,Africa,2007.5,38.9875,60.7,434.2549375,2.015,84.25,64.0,23.56875,83.0,83.5,7.4325,3943.9375,2.035625,10.7,10.70625,6.1375,1.0,54.875
Nepal,Asia,2007.5,42.075,54.04375,191.84340625,0.2078125,69.5625,65.0,21.50625,83.75,83.25,0.17,689.25,26.071875,17.13125,17.66875,3.23125,1.0,66.28125
Netherlands,European Union,2007.5,4.14375,4.94375,69.71015625,9.2775,88.625,94.0,25.35625,96.8125,96.8125,0.056875,43304.125,16.458750000000002,1.025,0.9625,11.70625,0.0,79.96875
New Zealand,Oceania,2007.5,5.3,6.3875,74.433875,9.145,90.4375,86.0,27.39375,89.125,90.875,0.031875,35167.5,4.225625,0.3125,0.3,11.85625,0.0,80.1875
Nicaragua,Central America and Caribbean,2007.5,23.0125,27.5,170.25853125,3.565,91.875,83.0,26.5,92.6875,91.875,0.12562500000000001,1675.625,5.635625,1.96875,1.875,5.78125,1.0,71.74375
Niger,Africa,2007.5,71.5625,150.4,273.49696875,0.1054375,70.9375,64.0,21.33125,57.4375,56.25,0.203125,432.6875,15.23125,9.025,8.9125,1.4,1.0,55.36875
Nigeria,Africa,2007.5,91.20625,148.25,385.92265625,8.723125,38.5625,64.0,22.8125,45.625,41.5625,0.91375,2133.0,149.605,10.41875,10.36875,5.3875,1.0,49.58125
North Macedonia,Rest of Europe,2007.5,11.04375,12.45,110.593125,4.038125,85.5,97.0,26.125,95.5,94.875,0.08,3971.1875,2.04625,2.43125,2.45625,8.4125,1.0,74.22500000000001
Norway,Rest of Europe,2007.5,3.0125,3.70625,68.40325,6.22875,88.0,91.9375,26.18125,93.0625,93.0,0.0325,72224.1875,4.784375,0.7625,0.7,12.487499999999999,0.0,80.48125
Oman,Middle East,2007.5,10.93125,12.69375,106.4806875,0.504375,98.8125,98.1875,25.8,98.5,98.75,0.05,20085.3125,2.935,7.025,6.825,7.45,1.0,74.80625
Pakistan,Asia,2007.5,73.29375,91.675,174.61015625,0.0293125,70.3125,36.625,23.2,61.625,70.875,0.13,1197.0,170.18562500000002,15.0875,15.5125,4.40625,1.0,64.65625
Panama,Central America and Caribbean,2007.5,18.24375,21.43125,122.1980625,5.6375,88.875,83.1875,26.25,89.1875,89.0,0.4,9572.5625,3.490625,2.08125,2.01875,9.18125,1.0,76.375
Papua New Guinea,Oceania,2007.5,47.15,61.30625,244.97784375,0.79,63.75,65.0,24.80625,59.25,68.375,0.475625,2084.4375,6.92625,1.40625,1.3625,3.7875,1.0,61.29375
Paraguay,South America,2007.5,23.50625,28.0875,156.40859375,5.6525,88.5,66.0,25.7625,89.9375,89.625,0.15875,4402.625,6.025625,2.2,2.11875,7.30625,1.0,72.16875
Peru,South America,2007.5,18.7875,24.2625,137.56240625,4.8625,88.8125,53.5625,25.75,87.875,91.125,0.165,4626.1875,28.445625,1.21875,1.21875,8.53125,1.0,73.59375
Philippines,Asia,2007.5,25.7375,33.16875,208.37809375,4.476875,68.875,27.6875,22.61875,84.125,82.5,0.036875,2295.75,90.123125,1.0,9.69375,8.675,1.0,69.5375
Poland,European Union,2007.5,5.91875,6.84375,134.7315625,9.67625,97.375,95.4375,25.95625,96.75,98.75,0.08,9788.875,38.126875,2.20625,2.3625,11.71875,0.0,75.625
Portugal,European Union,2007.5,3.6375,4.6,91.73053125,11.413125,91.5625,85.0,25.725,96.5,97.0,0.17250000000000001,19198.8125,10.4725,0.71875,0.5375,7.83125,0.0,78.74375
Qatar,Middle East,2007.5,8.4875,9.9,62.40440625,0.9924999999999999,95.0625,94.4375,28.29375,95.875,94.1875,0.05,60679.1875,1.434375,4.95625,4.5875,8.93125,1.0,78.6625
Romania,European Union,2007.5,12.90625,15.23125,153.2338125,10.58375,96.875,92.875,25.71875,94.75,95.0,0.043125000000000004,7011.0625,20.861875,3.16875,3.50625,10.375,0.0,72.88125
Russian Federation,Rest of Europe,2007.5,10.2,12.6875,272.35246875,10.761875,91.125,95.5,26.0125,97.5625,97.125,0.08,7955.0,143.8725,2.44375,2.60625,11.53125,1.0,67.75
Rwanda,Africa,2007.5,60.075,94.4125,303.88971875,7.718125,95.375,87.0,21.48125,93.5625,94.4375,1.621875,534.75,9.52625,6.63125,6.65625,3.18125,1.0,58.95
Samoa,Oceania,2007.5,16.79375,19.85625,141.87646875000002,3.030625,58.3125,49.0,31.2625,73.75,62.9375,0.17,3824.0,0.183125,0.2,0.16875,9.68125,1.0,70.9375
Sao Tome and Principe,Central America and Caribbean,2007.5,34.36875,47.8875,204.0994375,5.381875,84.75,71.3125,24.1875,95.625,95.125,0.556875,1307.4375,0.169375,6.6375,6.55625,4.7375,1.0,65.84375
Saudi Arabia,Middle East,2007.5,12.61875,14.7,98.19875,0.0419375,96.8125,97.25,27.9375,96.8125,96.875,0.13,18709.75,25.800625,7.35625,7.36875,8.2125,1.0,73.63125
Senegal,Africa,2007.5,48.96875,82.35625,223.85590625,0.2575,88.75,36.25,22.58125,78.8125,81.6875,0.355625,1129.5,11.975624999999999,8.09375,7.9875,2.45625,1.0,62.38125
